| Date                      |      Open |     Close |           Volume |     EMA_5 |    KNN_MA |   KnnEmaX |   WeeklyEMA |   WeeklyKNN |   WeeklyKnnEmaX |   TrendConfirmation | TradeOpen   |
| 2020-02-13 00:00:00-05:00 |  73.0694  |  73.8466  |      4.0654e+06  |  71.725   |  72.3474  |         0 |    69.9881  |    68.4637  |               1 |                   1 | True        |
| 2020-02-14 00:00:00-05:00 |  74.0728  |  74.1515  |      2.4841e+06  |  72.2103  |  72.7291  |         0 |    69.9881  |    68.4637  |               1 |                   1 | True        |
| 2020-02-18 00:00:00-05:00 |  73.4531  |  73.4826  |      3.819e+06   |  72.4648  |  73.4118  |         0 |    69.9881  |    68.4637  |               1 |                   1 | True        |
| 2020-02-19 00:00:00-05:00 |  74.2204  |  74.5942  |      2.0997e+06  |  72.8907  |  73.6538  |         0 |    69.9881  |    68.4637  |               1 |                   1 | True        |
| 2020-02-20 00:00:00-05:00 |  74.2105  |  73.7089  |      5.3172e+06  |  73.0543  |  74.0295  |         0 |    69.9881  |    68.4637  |               1 |                   0 | False       |
| 2020-02-21 00:00:00-05:00 |  72.7055  |  71.3283  |      4.7884e+06  |  72.7091  |  73.9567  |         0 |    69.9881  |    68.4637  |               1 |                   0 | False       |
| 2020-02-24 00:00:00-05:00 |  64.7178  |  64.2456  |      8.8633e+06  |  71.0164  |  73.4531  |         0 |    63.4369  |    69.9118  |               0 |                   0 | False       |
| 2020-02-25 00:00:00-05:00 |  65.2293  |  58.4418  |      1.10428e+07 |  68.5015  |  71.4719  |         0 |    63.4369  |    69.9118  |               0 |                   0 | False       |
| 2020-02-26 00:00:00-05:00 |  59.2189  |  57.7138  |      1.18181e+07 |  66.344   |  68.4637  |         0 |    63.4369  |    69.9118  |               0 |                   0 | False       |
| 2020-02-27 00:00:00-05:00 |  54.3201  |  50.0213  |      1.62372e+07 |  63.0794  |  65.0877  |         0 |    63.4369  |    69.9118  |               0 |                   0 | False       |
| 2020-02-28 00:00:00-05:00 |  45.5159  |  49.4409  |      2.00968e+07 |  60.3517  |  60.3502  |         1 |    63.4369  |    69.9118  |               0 |                   0 | False       |
| 2020-03-02 00:00:00-05:00 |  50.2672  |  55.5989  |      1.48694e+07 |  59.4011  |  55.9727  |         1 |    58.5879  |    66.0183  |               0 |                   0 | False       |
| 2020-03-03 00:00:00-05:00 |  55.8546  |  50.8673  |      1.53544e+07 |  57.6944  |  54.2433  |         1 |    58.5879  |    66.0183  |               0 |                   0 | False       |
| 2020-03-04 00:00:00-05:00 |  53.8479  |  57.2122  |      1.04158e+07 |  57.5979  |  52.7284  |         1 |    58.5879  |    66.0183  |               0 |                   0 | False       |
| 2020-03-05 00:00:00-05:00 |  52.8937  |  51.4575  |      1.3031e+07  |  56.3698  |  52.6281  |         1 |    58.5879  |    66.0183  |               0 |                   0 | False       |
| 2020-03-06 00:00:00-05:00 |  46.7259  |  48.89    |      1.36269e+07 |  54.8739  |  52.9153  |         1 |    58.5879  |    66.0183  |               0 |                   0 | False       |
| 2020-03-09 00:00:00-04:00 |  39.2006  |  37.5381  |      1.89242e+07 |  51.4067  |  52.8052  |         0 |    50.2204  |    62.9098  |               0 |                   0 | False       |
| 2020-03-10 00:00:00-04:00 |  41.6992  |  43.2829  |      2.16436e+07 |  49.782   |  49.193   |         1 |    50.2204  |    62.9098  |               0 |                   0 | False       |
| 2020-03-11 00:00:00-04:00 |  39.8203  |  36.9774  |      2.09105e+07 |  47.221   |  47.6761  |         0 |    50.2204  |    62.9098  |               0 |                   0 | False       |
| 2020-03-12 00:00:00-04:00 |  29.0192  |  26.3731  |      3.39808e+07 |  43.0515  |  43.6292  |         0 |    50.2204  |    62.9098  |               0 |                   0 | False       |
| 2020-03-13 00:00:00-04:00 |  31.1932  |  33.4852  |      3.16411e+07 |  41.1382  |  38.6123  |         1 |    50.2204  |    62.9098  |               0 |                   0 | False       |
| 2020-03-16 00:00:00-04:00 |  22.7235  |  22.1431  |      4.22345e+07 |  37.3392  |  35.5313  |         1 |    39.7497  |    55.4592  |               0 |                   0 | False       |
| 2020-03-17 00:00:00-04:00 |  23.3334  |  25.7632  |      4.11799e+07 |  35.024   |  32.4524  |         1 |    39.7497  |    55.4592  |               0 |                   0 | False       |
